alg,in-scale,num-ratings,field,value
ItemItem,2,5,MI-native-corrected,0.0296495335561
ItemItem,2,5,MI-81-corrected.ByUser,-8.42376285868
ItemItem,2,5,MI-native,0.0296519722235
ItemItem,2,5,NAttempted,295825.4
ItemItem,2,5,MI-81,0.0410596153972
ItemItem,2,5,MI-2.ByUser,0.0318207176556
ItemItem,2,5,NRMSE.ByUser,0.475133134563
ItemItem,2,5,NMAE,0.44255417206
ItemItem,2,5,MI-20,0.0410596153972
ItemItem,2,5,MI-native.ByUser,0.0318207176556
ItemItem,2,5,NMAE.ByUser,0.419651580724
ItemItem,2,5,RMSE.ByUser,0.475133134563
ItemItem,2,5,RMSE.ByRating,0.516701458127
ItemItem,2,5,NUsers,10672.8
ItemItem,2,5,TestTime,1733.2
ItemItem,2,5,Coverage,1.0
ItemItem,2,5,nDCG,0.949740887176
ItemItem,2,5,MAE,0.44255417206
ItemItem,2,5,MI-5-corrected.ByUser,-0.395626255184
ItemItem,2,5,MI-2,0.0296519722235
ItemItem,2,5,MI-5,0.0296519722235
ItemItem,2,5,MI-2-corrected.ByUser,-0.0750410255543
ItemItem,2,5,BuildTime,10627.8
ItemItem,2,5,MI-10.ByUser,0.0939972311195
ItemItem,2,5,MI-20.ByUser,0.125176598109
ItemItem,2,5,MI-5-corrected,0.0296422175541
ItemItem,2,5,MI-10-corrected,0.0396397751719
ItemItem,2,5,NGood,295825.4
ItemItem,2,5,MI-81.ByUser,0.125176598109
ItemItem,2,5,MAE.ByUser,0.419651580724
ItemItem,2,5,MI-81-corrected,0.0408645220095
ItemItem,2,5,MI-10-corrected.ByUser,-0.867758457769
ItemItem,2,5,MI-2-corrected,0.0296495335561
ItemItem,2,5,NRMSE,0.516701458127
ItemItem,2,5,MI-20-corrected.ByUser,-1.90519652288
ItemItem,2,5,MI-20-corrected,0.0410132807176
ItemItem,2,5,MI-10,0.039661723178
ItemItem,2,5,MI-5.ByUser,0.0318207176556
ItemUserMean,2,5,MI-native-corrected,0.0300860557796
ItemUserMean,2,5,MI-81-corrected.ByUser,-8.46712286888
ItemUserMean,2,5,MI-native,0.0300884944469
ItemUserMean,2,5,NAttempted,295825.4
ItemUserMean,2,5,MI-81,0.046365234866
ItemUserMean,2,5,MI-2.ByUser,0.03709736771
ItemUserMean,2,5,NRMSE.ByUser,0.461201802471
ItemUserMean,2,5,NMAE,0.440467108222
ItemUserMean,2,5,MI-20,0.046365234866
ItemUserMean,2,5,MI-native.ByUser,0.03709736771
ItemUserMean,2,5,NMAE.ByUser,0.419349991755
ItemUserMean,2,5,RMSE.ByUser,0.461201802471
ItemUserMean,2,5,RMSE.ByRating,0.503617024453
ItemUserMean,2,5,NUsers,10672.8
ItemUserMean,2,5,TestTime,6701.2
ItemUserMean,2,5,Coverage,1.0
ItemUserMean,2,5,nDCG,0.95286066793
ItemUserMean,2,5,MAE,0.440467108222
ItemUserMean,2,5,MI-5-corrected.ByUser,-0.390349605129
ItemUserMean,2,5,MI-2,0.0300884944469
ItemUserMean,2,5,MI-5,0.0300884944469
ItemUserMean,2,5,MI-2-corrected.ByUser,-0.0697643754998
ItemUserMean,2,5,BuildTime,2084.8
ItemUserMean,2,5,MI-10.ByUser,0.0726811484527
ItemUserMean,2,5,MI-20.ByUser,0.0818165879099
ItemUserMean,2,5,MI-5-corrected,0.0300787397775
